Disco,Artista,Ano,Capa,Spotify,YouTubeMusic,Tipo
American Idiot,Green Day,2004,https://yt3.googleusercontent.com/UXFGtBhmxZd0cWbwgJCsaUvLH59uZe_T_9E1plQPi_zHBuPAHTuhzz_h8I-uIYaXJMKvVfRB7gcRJFI=w544-h544-l90-rj,https://open.spotify.com/search/Green%20Day%20American%20Idiot,https://music.youtube.com/playlist?list=OLAK5uy_mmM6IEvxyWMmJhYOVc3YyFUH7espfFHP4,disco
Acustico MTV,IRA!,2004,https://yt3.googleusercontent.com/TmvgG7xaVBEypKf3gx93nY8ovjBQMojjp1in6MbaB8aDh-2jnahTqlzafnipkTeaDbdtCtZYF6HXje1e=w544-h544-l90-rj,https://open.spotify.com/search/IRA!%20Acustico%20MTV,https://music.youtube.com/playlist?list=OLAK5uy_nECCO1RhSrW-O1opOXzEHV6us3JrdZ6i8,disco
Collision Course,Jay-Z/Linkin Park,2004,https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/8c/b2/85/8cb28589-a74d-1961-894c-6d7662ee90da/mzi.eaqqjnzg.jpg/600x600bb.jpg,https://open.spotify.com/search/Jay-Z%2FLinkin%20Park%20Collision%20Course%20Disc%201,https://music.youtube.com/search?q=Jay-Z%2FLinkin%20Park%20Collision%20Course%20Disc%201,disco
The Best of Joy Division,Joy Division,2008,https://is1-ssl.mzstatic.com/image/thumb/Music/d9/1d/3f/mzi.gwtrsqyi.jpg/600x600bb.jpg,https://open.spotify.com/search/Joy%20Division%20The%20Best%20of%20Joy%20Division,https://music.youtube.com/search?q=Joy%20Division%20The%20Best%20of%20Joy%20Division,disco
Employment,Kaiser Chiefs,2005,https://is1-ssl.mzstatic.com/image/thumb/Music118/v4/e5/80/af/e580af5d-a406-4a07-b83d-ba715294c751/05055052813028.rgb.jpg/600x600bb.jpg,https://open.spotify.com/search/Kaiser%20Chiefs%20Employment,https://music.youtube.com/search?q=Kaiser%20Chiefs%20Employment,disco
Off With Their Heads,Kaiser Chiefs,2008,https://is1-ssl.mzstatic.com/image/thumb/Music128/v4/fe/ec/5e/feec5e74-9d6a-1deb-ae1a-53a94875f446/00602577376931.rgb.jpg/600x600bb.jpg,https://open.spotify.com/search/Kaiser%20Chiefs%20Off%20With%20Their%20Heads,https://music.youtube.com/search?q=Kaiser%20Chiefs%20Off%20With%20Their%20Heads,disco
"Yours Truly, Angry Mob",Kaiser Chiefs,2007,https://is1-ssl.mzstatic.com/image/thumb/Music128/v4/c5/e6/83/c5e6833f-f0c8-a2e1-13b2-ba7e9a170eb5/00602547151865.rgb.jpg/600x600bb.jpg,https://open.spotify.com/search/Kaiser%20Chiefs%20Yours%20Truly%2C%20Angry%20Mob,https://music.youtube.com/search?q=Kaiser%20Chiefs%20Yours%20Truly%2C%20Angry%20Mob,disco
World Beat,Kaoma,1989,https://is1-ssl.mzstatic.com/image/thumb/Features125/v4/d7/17/12/d71712cf-ea46-efcc-696c-21e93c18d800/dj.zvrrocev.jpg/600x600bb.jpg,https://open.spotify.com/search/Kaoma%20World%20Beat,https://music.youtube.com/search?q=Kaoma%20World%20Beat,disco
Follow the Leader,Korn,1998,https://yt3.googleusercontent.com/4SvxoyJf8oscWyfPEN3sQsiTpzcQ_4ko4x0ywY_-p4GNkLql4RQJh0GfF85Bumm8O2ODKfhsS2tya1Px0Q=w544-h544-l90-rj,https://open.spotify.com/search/Korn%20Follow%20the%20Leader,https://music.youtube.com/playlist?list=OLAK5uy_l9DBNhKxExv0Xd2CrzEY0vmUupeVjzRVw,disco
The Fame,Lady Gaga,2008,https://yt3.googleusercontent.com/L0931u-RfJqDBDYeyn8cq66QmdfvJ1NxwtHYvxMy9-P5YiO-wkzSzoRTGNlbUtgyhhas9ndiJWreM9Nv=w544-h544-l90-rj,https://open.spotify.com/search/Lady%20Gaga%20The%20Fame,https://music.youtube.com/playlist?list=OLAK5uy_kraUE5IGvAhWtLYsBO-TScCj8ehSZTclM,disco
Born This Way,Lady Gaga,2011,https://yt3.googleusercontent.com/Inld6GHnMKVMe1zZrzkqTVw-tZ9HE9nCD3ObgvyD-yBLA47S93uZ1sxvTWIHebGtZszQAdNr96PWY2p0=w544-h544-l90-rj,https://open.spotify.com/search/Lady%20Gaga%20Born%20This%20Way,https://music.youtube.com/playlist?list=OLAK5uy_nt7UTCkrMYOrgUnfbEv9KYOXKuEigO0cQ,disco
